time;0;1;2;3
104;0;44;3;3
105;0;44;3;3
106;0;44;3;3
107;0;44;3;3
108;0;44;3;3
109;0;44;3;3
110;0;44;3;3
111;0;44;3;3
112;0;44;3;3
113;0;44;3;3
114;0;44;3;3
115;0;44;3;3
116;0;44;3;3
117;0;44;3;3
118;0;44;3;3
119;0;44;3;3
120;0;44;3;3
121;0;44;3;3
122;0;44;3;3
123;0;44;3;3
124;0;44;3;3
125;0;44;3;3
126;0;44;3;3
127;0;44;3;3
128;0;44;3;3
129;0;44;3;3
130;0;44;3;3
131;0;43;3;4
132;0;43;3;4
133;0;43;3;4
134;0;43;3;4
135;0;43;3;4
136;0;43;3;4
137;0;43;3;4
138;0;43;3;4
139;0;43;3;4
140;0;42;3;5
141;0;42;3;5
142;0;42;3;5
143;0;42;3;5
144;0;42;3;5
145;0;42;3;5
146;0;42;3;5
147;0;42;3;5
148;0;42;3;5
149;0;42;3;5
150;0;42;3;5
151;0;42;3;5
152;0;42;3;5
153;0;42;3;5
154;0;42;3;5
155;0;42;3;5
156;0;42;3;5
157;0;42;3;5
158;0;42;3;5
159;0;42;3;5
160;0;42;3;5
161;0;42;3;5
162;0;42;3;5
163;0;42;3;5
164;0;42;3;5
165;0;42;3;5
166;0;42;3;5
167;0;42;3;5
168;0;42;3;5
169;0;42;3;5
170;0;42;3;5
171;0;42;3;5
172;0;42;3;5
173;0;42;3;5
174;0;42;3;5
175;0;42;3;5
176;0;42;3;5
177;0;42;3;5
178;0;42;3;5
179;0;42;3;5
180;0;42;3;5
181;0;42;3;5
182;0;42;3;5
183;0;42;3;5
184;0;42;3;5
185;0;42;3;5
186;0;42;3;5
187;0;42;3;5
188;0;42;3;5
189;0;42;3;5
190;0;42;3;5
191;0;42;3;5
192;0;40;5;5
193;0;40;5;5
194;0;40;5;5
195;0;40;5;5
196;0;40;5;5
197;0;40;5;5
198;0;40;5;5
199;0;40;5;5
200;0;40;5;5
201;0;40;5;5
202;0;40;5;5
203;0;40;5;5
204;0;40;5;5
205;0;40;5;5
206;0;40;5;5
207;0;40;5;5
208;0;40;5;5
209;0;40;5;5
210;0;40;5;5
211;0;40;5;5
212;0;40;5;5
213;0;40;5;5
214;0;40;5;5
215;0;40;5;5
216;0;40;5;5
217;0;40;5;5
218;0;39;6;5
219;0;39;6;5
220;0;39;6;5
221;0;39;6;5
222;0;39;6;5
223;0;39;6;5
224;0;39;6;5
225;0;39;6;5
226;0;39;6;5
227;0;39;6;5
228;0;39;6;5
229;0;38;7;5
230;0;38;7;5
231;0;38;7;5
232;0;38;7;5
233;0;38;7;5
234;0;38;7;5
235;0;38;7;5
236;0;38;7;5
237;0;38;7;5
238;0;38;7;5
239;0;38;7;5
240;0;38;7;5
241;0;38;7;5
242;0;38;7;5
243;0;38;7;5
244;0;38;7;5
245;0;38;7;5
246;0;38;7;5
247;0;38;7;5
248;0;38;7;5
249;0;38;7;5
250;0;38;7;5
251;0;38;7;5
252;0;38;7;5
253;0;38;7;5
254;0;38;7;5
255;0;37;7;6
256;0;37;7;6
257;0;37;7;6
258;0;37;7;6
259;0;37;7;6
260;0;37;7;6
261;0;37;7;6
262;0;37;7;6
263;0;37;7;6
264;0;37;7;6
265;0;37;7;6
266;0;37;7;6
267;0;37;7;6
268;0;37;7;6
269;0;37;7;6
270;0;37;7;6
271;0;37;7;6
272;0;37;7;6
273;0;37;7;6
274;0;37;7;6
275;0;37;7;6
276;0;37;7;6
277;0;37;7;6
278;0;37;7;6
279;0;37;7;6
280;0;37;7;6
281;0;37;7;6
282;0;37;7;6
283;0;36;8;6
284;0;36;8;6
285;0;36;8;6
286;0;36;8;6
287;0;36;8;6
288;0;36;8;6
289;0;36;8;6
290;0;36;8;6
291;0;36;8;6
292;0;36;8;6
293;0;36;8;6
294;0;35;9;6
295;0;35;9;6
296;0;35;9;6
297;0;35;9;6
298;0;35;9;6
299;0;35;9;6
300;0;35;9;6
301;0;35;9;6
302;0;35;9;6
303;0;35;9;6
304;0;35;9;6
305;0;35;9;6
306;0;34;9;7
307;0;35;9;6
308;0;36;9;5
309;0;36;9;5
310;0;36;9;5
311;0;36;9;5
312;0;36;9;5
313;0;36;9;5
314;0;36;9;5
315;0;35;10;5
316;0;35;10;5
317;0;35;10;5
318;0;35;10;5
319;0;35;10;5
