time;0;1;2;3;4;5
1;0;50;0;0;0;0
2;0;50;0;0;0;0
3;0;50;0;0;0;0
4;0;50;0;0;0;0
5;0;50;0;0;0;0
6;0;50;0;0;0;0
7;0;50;0;0;0;0
8;0;50;0;0;0;0
9;0;50;0;0;0;0
10;0;50;0;0;0;0
11;0;50;0;0;0;0
12;0;50;0;0;0;0
13;0;50;0;0;0;0
14;0;50;0;0;0;0
15;0;50;0;0;0;0
16;0;50;0;0;0;0
17;0;50;0;0;0;0
18;0;50;0;0;0;0
19;0;50;0;0;0;0
20;0;50;0;0;0;0
21;0;50;0;0;0;0
22;0;50;0;0;0;0
23;0;50;0;0;0;0
24;0;50;0;0;0;0
25;0;50;0;0;0;0
26;0;50;0;0;0;0
27;0;50;0;0;0;0
28;0;50;0;0;0;0
29;0;50;0;0;0;0
30;0;50;0;0;0;0
31;0;50;0;0;0;0
32;0;50;0;0;0;0
33;0;50;0;0;0;0
34;0;50;0;0;0;0
35;0;50;0;0;0;0
36;0;50;0;0;0;0
37;0;50;0;0;0;0
38;0;50;0;0;0;0
39;0;50;0;0;0;0
40;0;50;0;0;0;0
41;0;50;0;0;0;0
42;0;50;0;0;0;0
43;0;50;0;0;0;0
44;0;50;0;0;0;0
45;0;50;0;0;0;0
46;0;50;0;0;0;0
47;0;50;0;0;0;0
48;0;50;0;0;0;0
49;0;50;0;0;0;0
50;0;50;0;0;0;0
51;0;50;0;0;0;0
52;0;50;0;0;0;0
53;0;50;0;0;0;0
54;0;50;0;0;0;0
55;0;50;0;0;0;0
56;0;50;0;0;0;0
57;0;50;0;0;0;0
58;0;50;0;0;0;0
59;0;50;0;0;0;0
60;0;50;0;0;0;0
61;0;50;0;0;0;0
62;0;50;0;0;0;0
63;0;50;0;0;0;0
64;0;49;0;0;0;1
65;0;49;0;0;0;1
66;0;49;0;0;0;1
67;0;49;0;0;0;1
68;0;49;0;0;0;1
69;0;49;0;0;0;1
70;0;49;0;0;0;1
71;0;49;0;0;0;1
72;0;49;0;0;0;1
73;0;49;0;0;0;1
74;0;49;0;0;0;1
75;0;49;0;0;0;1
76;0;49;0;0;0;1
77;0;49;0;0;0;1
78;0;49;0;0;0;1
79;0;49;0;0;0;1
80;0;49;0;0;0;1
81;0;49;0;0;0;1
82;0;47;2;0;0;1
83;0;47;2;0;0;1
84;0;47;2;0;0;1
85;0;47;2;0;0;1
86;0;47;2;0;0;1
87;0;47;2;0;0;1
88;0;47;2;0;0;1
89;0;47;2;0;0;1
90;0;46;2;0;0;2
91;0;45;2;0;0;3
92;0;45;2;0;0;3
93;0;45;2;0;0;3
94;0;45;2;0;0;3
95;0;45;2;0;0;3
96;0;45;2;0;0;3
97;0;45;2;0;0;3
98;0;45;2;0;0;3
99;0;45;2;0;0;3
100;0;45;2;0;0;3
101;0;44;2;1;0;3
102;0;44;2;1;0;3
103;0;44;2;1;0;3
104;0;44;2;1;0;3
105;0;44;2;1;0;3
106;0;44;2;1;0;3
107;0;44;2;1;0;3
108;0;44;2;1;0;3
109;0;44;2;1;0;3
110;0;44;2;1;0;3
111;0;44;2;1;0;3
112;0;44;2;1;0;3
113;0;44;2;1;0;3
114;0;44;2;1;0;3
115;0;44;2;1;0;3
116;0;44;2;1;0;3
117;0;44;2;1;0;3
118;0;44;2;1;0;3
119;0;44;2;1;0;3
120;0;44;2;1;0;3
121;0;44;2;1;0;3
122;0;44;2;1;0;3
123;0;44;2;1;0;3
124;0;44;2;1;0;3
125;0;44;2;1;0;3
126;0;44;2;1;0;3
127;0;44;2;1;0;3
128;0;44;2;1;0;3
129;0;44;2;1;0;3
130;0;44;2;1;0;3
131;0;44;2;1;0;3
132;0;44;2;1;0;3
